,subject,subject_desc,course,prof,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
0,AAE,Advanced Academic English,220,Andrew S McCullough,0.875012501250125,0.8541749999999999,0.8333250000000001,0.791675,0.75,0.791675
1,AAE,Advanced Academic English,220,David Krise,0.9375,0.90625,0.90625,0.90625,0.90625,0.9375
2,AAE,Advanced Academic English,220,Laura Marian Ramm-Christensen,0.9318250000000001,0.9318250000000001,0.9318250000000001,0.9091,0.9249999999999999,0.9091
3,AAE,Advanced Academic English,221,Carol Elaine Arnold,0.9166750000000001,0.8889,0.972225,0.94445,0.972225,0.94445
4,AAE,Advanced Academic English,222,Carol Wilson-Duffy,0.9375,0.90625,0.9375,0.9375,0.9375,0.890625
5,AAE,Advanced Academic English,222,Kimberly Anne P Benedicto,0.86365,0.8409090909090908,0.8181818181818182,0.8409249999999999,0.8181999999999999,0.7954749999999999
6,AAE,Advanced Academic English,223,Andrew S McCullough,0.8499939997599903,0.8499939997599903,0.8499939997599903,0.6999940004799616,0.75,0.75
7,AAE,Advanced Academic English,223,Lawrence Jude Zwier,0.9166749999999999,0.9166749999999999,0.9375187518751875,0.91665,0.91665,0.91665
8,ABM,Agribusiness Management,100,Laura Martin Cheney,0.8369586958695869,0.79045,0.8345763571790968,0.8297250000000002,0.852960296029603,0.7717228277172283
9,ABM,Agribusiness Management,130,John F Whims,0.7556,0.7500250025002501,0.73335,0.744325,0.7278227822782278,0.7000450045004502
10,ABM,Agribusiness Management,210,Larry Thomas Zink,0.83335,0.7187281271872813,0.8124937506249374,0.79165,0.770825,0.6042
11,ABM,Agribusiness Management,222,Larry Thomas Zink,0.8081448889798424,0.7988117189100594,0.8214510214772132,0.8081448889798423,0.802369013507982,0.7976348930070647
12,ABM,Agribusiness Management,303,Maria Porter,0.807725,0.6538750000000001,0.75,0.7115499999999999,0.75,0.6153865386538654
13,ABM,Agribusiness Management,400,Michael Adetayo Olabisi,0.6153865386538654,0.5833333333333334,0.6818404974907265,0.479125,0.562475,0.562475
14,ABM,Agribusiness Management,422,Robert S Shupp,0.680525,0.63575,0.7651452709664125,0.7214278572142786,0.7071207120712071,0.7142750000000001
15,ABM,Agribusiness Management,435,J Roy Black,0.6499925003749811,0.7413508649135085,0.6183989621489622,0.672425,0.6428892889288929,0.7069
16,ABM,Agribusiness Management,435,John Thomas Mann,0.7327732773277327,0.7413508649135085,0.8189500000000001,0.672425,0.6428892889288929,0.7069
17,ABM,Agribusiness Management,435,Lindon J Robison,0.7844749999999999,0.7413508649135085,0.775847415258474,0.672425,0.6428892889288929,0.7069
