term_seq_id,term_code,subj_code,crse_code,crse_title,sctn_code,Instructor,Total Grades,4.0,3.5,3.0,2.5,2.0,1.5,1.0,0.0,I,W,P,N,DF,U,V,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,AU,ET,CP,NGR,blank
1196,SS20,AAAS,100,Race and Community,001,"CHAMBERS JR,GLENN A",34,26,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,220,English Grammar & Composition,001,"KRISE,DAVID | WALTERS,PATRICIA G",15,2,7,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,220,English Grammar & Composition,002,"RAMM,LAURA | WALTERS,PATRICIA G",16,1,5,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,220,English Grammar & Composition,003,"MCCULLOUGH,ANDREW S | WALTERS,PATRICIA G",16,2,8,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,221,English Composition,002,"ARNOLD,CAROL E | WALTERS,PATRICIA G",16,7,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,222,Listen Spk for NNS of English,001,"GIUPPONI,LUCA | WALTERS,PATRICIA G | WILSON-DUFFY,CAROL",12,3,5,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,222,Listen Spk for NNS of English,002,"GIUPPONI,LUCA | WALTERS,PATRICIA G | WILSON-DUFFY,CAROL",16,5,2,5,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,222,Listen Spk for NNS of English,003,"BENEDICTO,KIMBERLY A | GIUPPONI,LUCA | WALTERS,PATRICIA G",16,2,3,2,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,223,Reading for NNS of English,001,"WALTERS,PATRICIA G",17,4,2,2,4,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,223,Reading for NNS of English,002,"MCCULLOUGH,ANDREW S | WALTERS,PATRICIA G",13,2,1,2,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,AAE,223,Reading for NNS of English,003,"WALTERS,PATRICIA G | ZWIER,LAWRENCE J",17,5,4,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,100,Decision Making in Agri-Food,001,"CHENEY,LAURA M",130,33,17,28,19,17,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,130,Farm Management I,001,"WHIMS,JOHN F",80,15,18,14,14,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,203,Data Analysis Agri-Food System,001,,46,19,12,3,6,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,210,Seminar in ABM,301,"ZINK,LARRY T",101,71,11,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,222,Agribus/Food Ind Sales,001,"ZINK,LARRY T",78,23,21,14,10,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,303,Economics of Decision Making,001,"PORTER,MARIA",22,7,2,3,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,400,Public Pol Agri-Food System,001,"OLABISI,MICHAEL ADETAYO",24,9,5,4,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,422,Vert Coord in Agri-Food,001,"SHUPP,ROBERT S",78,25,31,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ABM,435,Fin Mgt in the Agri-Food Sys,001,"BLACK,J R | MANN,JOHN T | ROBISON,LINDON J",57,19,11,15,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,001,"PETRONI,KATHY R",38,4,17,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,002,"PETRONI,KATHY R",39,10,6,9,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,003,"PETRONI,KATHY R",40,6,11,13,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,005,"PETRONI,KATHY R",40,9,5,14,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,006,"PETRONI,KATHY R",40,2,8,16,6,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,007,"PETRONI,KATHY R",40,9,10,7,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,008,"PETRONI,KATHY R",40,6,12,10,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,009,"PETRONI,KATHY R",37,6,10,10,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,010,"PETRONI,KATHY R",40,14,10,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,011,"PETRONI,KATHY R",38,8,10,11,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,012,"PETRONI,KATHY R",38,10,4,13,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,013,"PETRONI,KATHY R",40,8,8,15,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,015,"PETRONI,KATHY R",33,18,5,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,016,"PETRONI,KATHY R",40,11,5,6,6,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,017,"PETRONI,KATHY R",40,10,10,8,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,201,Principles of Financial Acct,018,"PETRONI,KATHY R",37,11,9,4,4,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,001,"BETTINGHAUS,BRUCE",40,12,22,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,002,"BETTINGHAUS,BRUCE",39,25,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,003,"BETTINGHAUS,BRUCE",42,13,20,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,004,"BETTINGHAUS,BRUCE",40,13,17,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,005,"BETTINGHAUS,BRUCE",42,19,17,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,006,"BETTINGHAUS,BRUCE",42,13,23,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,007,"BETTINGHAUS,BRUCE",40,16,17,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,008,"BETTINGHAUS,BRUCE",42,11,23,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,009,"BETTINGHAUS,BRUCE",41,15,15,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,010,"BETTINGHAUS,BRUCE",42,9,19,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,011,"BETTINGHAUS,BRUCE",42,18,7,10,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,012,"BETTINGHAUS,BRUCE",40,12,16,8,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,013,"BETTINGHAUS,BRUCE",41,8,16,8,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,014,"BETTINGHAUS,BRUCE",40,8,21,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,202,Principles of Management Acct,015,"BETTINGHAUS,BRUCE",21,6,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,230,Survey of Accounting Concepts,001,"JACOBS,FREDRIC",231,41,37,50,26,29,28,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,230,Survey of Accounting Concepts,730,"JACOBS,FREDRIC",444,97,73,75,46,57,57,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,250,Accounting Career,001,"ZELENSKI,LYNNE A",114,0,0,0,0,0,0,0,0,0,0,111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,300,Intermediate Financial Acct I,001,"CONVERY,SUSAN P",30,13,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,300,Intermediate Financial Acct I,002,"CONVERY,SUSAN P",30,10,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,300,Intermediate Financial Acct I,003,"BETTINGHAUS,BRUCE",18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,301,Intermediate Financial Acct II,002,,25,6,7,9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196,SS20,ACC,301,Intermediate Financial Acct II,003,,37,8,13,10,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
