term_seq_id,term_code,subj_code,crse_code,crse_title,sctn_code,Instructor,Total Grades,4,3.5,3,2.5,2,1.5,1,0,I,W,P,N,DF,U,V,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,AU,ET,CP,NGR,blank
1206,SS21,AAAS,100,Race and Community,1,"FIGUEROA,YOMAIRA C",36,26,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,AAAS,300,Survey in Africana,1,"LOMAX,TAMURA A",25,16,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,AAE,221,English Composition,1,"MCCULLOUGH,ANDREW S | WALTERS,PATRICIA G",11,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,AAE,222,Listen Spk for NNS of English,1,"BENEDICTO,KIMBERLY A | WALTERS,PATRICIA G",14,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,AAE,222,Listen Spk for NNS of English,2,"BENEDICTO,KIMBERLY A | WALTERS,PATRICIA G",13,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,AAE,223,Reading for NNS of English,1,"WALTERS,PATRICIA G",19,0,5,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,100,Decision Making in Agri-Food,1,"WHIMS,JOHN F",71,27,22,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,130,Farm Management I,1,"WHIMS,JOHN F",73,28,8,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,130,Farm Management I,701,"CHAISON,DORCIA B | HOSMER,CRISTIN P",15,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,130,Farm Management I,703,"DEVRIES,KAYLA",14,6,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,130,Farm Management I,705,"VARNER,VAN V",22,11,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,130,Farm Management I,707,"ROSSMAN,DANIEL J",18,3,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,130,Farm Management I,711,"CHAISON,DORCIA B",18,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,130,Farm Management I,715,"HARD,MICHAEL W",14,3,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,203,Data Analysis Agri-Food System,1,"ROSS,BRENT",74,16,20,14,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,210,Seminar in ABM,301,"ZINK,LARRY T",96,62,14,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,222,Agribus/Food Ind Sales,1,"ZINK,LARRY T",78,17,26,13,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,303,Economics of Decision Making,1,"ROSS,BRENT",40,6,12,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,400,Public Pol Agri-Food System,1,"SCHAEFER,K. ALEKS",55,8,15,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,422,Vert Coord in Agri-Food,1,"SHUPP,ROBERT S",76,28,27,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ABM,435,Fin Mgt in the Agri-Food Sys,1,"MANN,JOHN T",66,46,10,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,1,"PETRONI,KATHY R",37,6,12,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,2,"PETRONI,KATHY R",37,6,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,3,"PETRONI,KATHY R",35,7,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,4,"PETRONI,KATHY R",34,12,11,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,5,"PETRONI,KATHY R",38,5,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,6,"PETRONI,KATHY R",36,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,7,"PETRONI,KATHY R",31,6,9,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,SS21,ACC,201,Principles of Financial Acct,8,"PETRONI,KATHY R",33,9,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
